PKG	VERSION	ARCH	SIZE_BYTES	SIZE_HUMAN	MANUAL	DEPENDS	RDEPS_COUNT
liburi-perl	5.10-1	all	227328	222.00 KB	0	perl:any	9
libusb-1.0-0	2:1.0.25-1ubuntu2	amd64	147456	144.00 KB	0	libc6 (>= 2.34), libudev1 (>= 183)	3
libutempter0	1.2.1-2build2	amd64	52224	51.00 KB	0	libc6 (>= 2.34)	2
libuuid1	2.37.2-4ubuntu3.4	amd64	137216	134.00 KB	0	libc6 (>= 2.25)	22
libuv1	1.43.0-1ubuntu0.1	amd64	259072	253.00 KB	0	libc6 (>= 2.34)	5
libuv1-dev	1.43.0-1ubuntu0.1	amd64	647168	632.00 KB	0	libuv1 (= 1.43.0-1ubuntu0.1)	1
libvolume-key1	0.3.12-3.1build3	amd64	184320	180.00 KB	0	libblkid1 (>= 2.16), libc6 (>= 2.14), libcryptsetup12 (>= 2:1.4), libglib2.0-0 (>= 2.18.0), libgpgme11 (>= 1.4.1), libnspr4 (>= 2:4.9-2~), libnss3 (>= 2:3.13.4-2~), gnupg	1
libvorbis0a	1.3.7-1build2	amd64	210944	206.00 KB	0	libc6 (>= 2.29), libogg0 (>= 1.1.0)	2
libvorbisenc2	1.3.7-1build2	amd64	720896	704.00 KB	1	libc6 (>= 2.4), libvorbis0a (= 1.3.7-1build2)	1
libvte-2.91-0	0.68.0-1ubuntu0.1	amd64	582656	569.00 KB	0	libvte-2.91-common (= 0.68.0-1ubuntu0.1), libatk1.0-0 (>= 1.12.4), libc6 (>= 2.34), libcairo2 (>= 1.10.0), libfribidi0 (>= 1.0.0), libgcc-s1 (>= 3.3.1), libglib2.0-0 (>= 2.52.0), libgnutls30 (>= 3.7.2), libgtk-3-0 (>= 3.24.22), libicu70 (>= 70.1-1~), libpango-1.0-0 (>= 1.44.3), libpangocairo-1.0-0 (>= 1.22.0), libpcre2-8-0 (>= 10.22), libstdc++6 (>= 11), libsystemd0 (>= 220), zlib1g (>= 1:1.2.0)	1
libvte-2.91-common	0.68.0-1ubuntu0.1	amd64	155648	152.00 KB	0	libc6 (>= 2.34)	1
libvted-3-0	3.10.0-1ubuntu1	amd64	240640	235.00 KB	0	libvte-2.91-0, libc6 (>= 2.14), libgcc-s1 (>= 3.0), libphobos2-ldc-shared98 (>= 1:1.28.0)	1
libvterm0	0.1.4-1	amd64	87040	85.00 KB	0	libc6 (>= 2.14)	1
libvulkan1	1.3.204.1-2	amd64	505856	494.00 KB	1	libc6 (>= 2.34)	2
libwayland-client0	1.20.0-1ubuntu0.1	amd64	87040	85.00 KB	1	libc6 (>= 2.28), libffi8 (>= 3.4)	4
libwayland-cursor0	1.20.0-1ubuntu0.1	amd64	55296	54.00 KB	0	libc6 (>= 2.28), libwayland-client0 (>= 1.20.0)	1
libwayland-egl1	1.20.0-1ubuntu0.1	amd64	34816	34.00 KB	0	libc6 (>= 2.2.5)	1
libwayland-server0	1.20.0-1ubuntu0.1	amd64	109568	107.00 KB	0	libc6 (>= 2.34), libffi8 (>= 3.4)	2
libwebp7	1.2.2-2ubuntu0.22.04.2	amd64	449536	439.00 KB	0	libc6 (>= 2.34)	6
libwebpdemux2	1.2.2-2ubuntu0.22.04.2	amd64	35840	35.00 KB	0	libc6 (>= 2.14), libwebp7	1
libwebpmux3	1.2.2-2ubuntu0.22.04.2	amd64	64512	63.00 KB	0	libc6 (>= 2.29), libwebp7	1
libwrap0	7.6.q-31build2	amd64	111616	109.00 KB	1	libc6 (>= 2.33), libnsl2 (>= 1.0)	1
libwww-perl	6.61-1	all	389120	380.00 KB	0	perl:any, ca-certificates, libencode-locale-perl, libfile-listing-perl, libhtml-parser-perl, libhtml-tagset-perl, libhtml-tree-perl, libhttp-cookies-perl, libhttp-date-perl, libhttp-message-perl, libhttp-negotiate-perl, liblwp-mediatypes-perl, liblwp-protocol-https-perl, libnet-http-perl, libtry-tiny-perl, liburi-perl, libwww-robotrules-perl, netbase	8
libwww-robotrules-perl	6.02-1	all	35840	35.00 KB	0	perl, liburi-perl	1
libx11-6	2:1.7.5-1ubuntu0.3	amd64	1420288	1.35 MB	0	libc6 (>= 2.34), libxcb1 (>= 1.11.1), libx11-data	43
libx11-data	2:1.7.5-1ubuntu0.3	all	1464320	1.40 MB	0	-	1
libx11-dev	2:1.7.5-1ubuntu0.3	amd64	2544640	2.43 MB	0	libx11-6 (= 2:1.7.5-1ubuntu0.3), libxau-dev (>= 1:1.0.0-1), libxdmcp-dev (>= 1:1.0.0-1), x11proto-dev (>= 2019.2-1), xtrans-dev, libxcb1-dev	5
libx11-protocol-perl	0.56-7.1	all	374784	366.00 KB	0	perl:any	1
libx11-xcb1	2:1.7.5-1ubuntu0.3	amd64	87040	85.00 KB	1	libx11-6 (= 2:1.7.5-1ubuntu0.3)	7
libx265-199	3.5-2	amd64	16249856	15.50 MB	0	libc6 (>= 2.34), libnuma1 (>= 2.0.11), libstdc++6 (>= 4.1.1)	1
libx32asan6	11.4.0-1ubuntu1~22.04.2	amd64	6727680	6.42 MB	0	gcc-11-base (= 11.4.0-1ubuntu1~22.04.2), libc6-x32 (>= 2.34), libx32gcc-s1	2
libx32atomic1	12.3.0-1ubuntu1~22.04.2	amd64	44032	43.00 KB	0	gcc-12-base (= 12.3.0-1ubuntu1~22.04.2), libc6-x32 (>= 2.16)	2
libx32gcc-11-dev	11.4.0-1ubuntu1~22.04.2	amd64	7155712	6.82 MB	0	gcc-11-base (= 11.4.0-1ubuntu1~22.04.2), lib32gcc-s1 (>= 11.4.0-1ubuntu1~22.04.2), libx32gcc-s1 (>= 11.4.0-1ubuntu1~22.04.2), lib32gomp1 (>= 11.4.0-1ubuntu1~22.04.2), libx32gomp1 (>= 11.4.0-1ubuntu1~22.04.2), lib32itm1 (>= 11.4.0-1ubuntu1~22.04.2), libx32itm1 (>= 11.4.0-1ubuntu1~22.04.2), lib32atomic1 (>= 11.4.0-1ubuntu1~22.04.2), libx32atomic1 (>= 11.4.0-1ubuntu1~22.04.2), lib32asan6 (>= 11.4.0-1ubuntu1~22.04.2), libx32asan6 (>= 11.4.0-1ubuntu1~22.04.2), lib32ubsan1 (>= 11.4.0-1ubuntu1~22.04.2), libx32ubsan1 (>= 11.4.0-1ubuntu1~22.04.2), lib32quadmath0 (>= 11.4.0-1ubuntu1~22.04.2), libx32quadmath0 (>= 11.4.0-1ubuntu1~22.04.2)	1
libx32gcc-s1	12.3.0-1ubuntu1~22.04.2	amd64	138240	135.00 KB	0	gcc-12-base (= 12.3.0-1ubuntu1~22.04.2), libc6-x32 (>= 2.35)	5
libx32gomp1	12.3.0-1ubuntu1~22.04.2	amd64	313344	306.00 KB	0	gcc-12-base (= 12.3.0-1ubuntu1~22.04.2), libc6-x32 (>= 2.34)	2
libx32itm1	12.3.0-1ubuntu1~22.04.2	amd64	107520	105.00 KB	0	gcc-12-base (= 12.3.0-1ubuntu1~22.04.2), libc6-x32 (>= 2.34)	2
libx32quadmath0	12.3.0-1ubuntu1~22.04.2	amd64	302080	295.00 KB	0	gcc-12-base (= 12.3.0-1ubuntu1~22.04.2), libc6-x32 (>= 2.23)	2
libx32stdc++6	12.3.0-1ubuntu1~22.04.2	amd64	2508800	2.39 MB	0	gcc-12-base (= 12.3.0-1ubuntu1~22.04.2), libx32gcc-s1 (>= 12.3.0-1ubuntu1~22.04.2), libc6-x32 (>= 2.34)	1
libx32ubsan1	12.3.0-1ubuntu1~22.04.2	amd64	2578432	2.46 MB	0	gcc-12-base (= 12.3.0-1ubuntu1~22.04.2), libc6-x32 (>= 2.34), libx32gcc-s1 (>= 3.3), libx32stdc++6 (>= 4.1.1)	2
libxapian30	1.4.18-4	amd64	2056192	1.96 MB	0	libc6 (>= 2.34), libgcc-s1 (>= 3.4), libstdc++6 (>= 11), libuuid1 (>= 2.16), zlib1g (>= 1:1.1.4)	1
libxau-dev	1:1.0.9-1build5	amd64	55296	54.00 KB	0	libxau6 (= 1:1.0.9-1build5), x11proto-dev	2
libxau6	1:1.0.9-1build5	amd64	35840	35.00 KB	0	libc6 (>= 2.33)	3
libxaw7	2:1.0.14-1	amd64	506880	495.00 KB	1	libc6 (>= 2.15), libx11-6, libxext6, libxmu6 (>= 2:1.1.3), libxpm4, libxt6	3
libxcb-dri2-0	1.14-3ubuntu3	amd64	47104	46.00 KB	1	libc6 (>= 2.4), libxcb1	2
libxcb-dri3-0	1.14-3ubuntu3	amd64	47104	46.00 KB	1	libc6 (>= 2.4), libxcb1 (>= 1.12)	4
libxcb-glx0	1.14-3ubuntu3	amd64	157696	154.00 KB	1	libc6 (>= 2.4), libxcb1	1
libxcb-present0	1.14-3ubuntu3	amd64	36864	36.00 KB	1	libc6 (>= 2.4), libxcb1	3
libxcb-randr0	1.14-3ubuntu3	amd64	108544	106.00 KB	1	libc6 (>= 2.4), libxcb1 (>= 1.9.2)	4
libxcb-render0	1.14-3ubuntu3	amd64	88064	86.00 KB	0	libc6 (>= 2.14), libxcb1 (>= 1.8)	1
libxcb-shape0	1.14-3ubuntu3	amd64	37888	37.00 KB	1	libc6 (>= 2.4), libxcb1	1
libxcb-shm0	1.14-3ubuntu3	amd64	36864	36.00 KB	1	libc6 (>= 2.4), libxcb1 (>= 1.12)	3
libxcb-sync1	1.14-3ubuntu3	amd64	60416	59.00 KB	1	libc6 (>= 2.14), libxcb1	3
libxcb-xfixes0	1.14-3ubuntu3	amd64	61440	60.00 KB	1	libc6 (>= 2.4), libxcb1	3
libxcb1	1.14-3ubuntu3	amd64	210944	206.00 KB	0	libc6 (>= 2.14), libxau6 (>= 1:1.0.9), libxdmcp6	19
libxcb1-dev	1.14-3ubuntu3	amd64	700416	684.00 KB	0	libxcb1 (= 1.14-3ubuntu3), libpthread-stubs0-dev, libxau-dev (>= 1:1.0.0-1), libxdmcp-dev (>= 1:1.0.0-1)	1
libxcomposite1	1:0.4.5-1build2	amd64	32768	32.00 KB	1	libc6 (>= 2.4), libx11-6 (>= 2:1.4.99.1)	2
libxcursor1	1:1.2.0-2build4	amd64	64512	63.00 KB	0	libc6 (>= 2.4), libx11-6 (>= 2:1.4.99.1), libxfixes3, libxrender1	2
libxdamage1	1:1.1.5-2build2	amd64	31744	31.00 KB	0	libc6 (>= 2.4), libx11-6 (>= 2:1.4.99.1)	1
libxdmcp-dev	1:1.1.3-0ubuntu5	amd64	68608	67.00 KB	0	libxdmcp6 (= 1:1.1.3-0ubuntu5), x11proto-core-dev	2
libxdmcp6	1:1.1.3-0ubuntu5	amd64	44032	43.00 KB	0	libbsd0 (>= 0.2.0), libc6 (>= 2.4)	2
libxext-dev	2:1.3.4-1build1	amd64	318464	311.00 KB	0	libxext6 (= 2:1.3.4-1build1), x11proto-dev, libx11-dev	1
libxext6	2:1.3.4-1build1	amd64	112640	110.00 KB	0	libc6 (>= 2.14), libx11-6 (>= 2:1.6.0)	17
libxfixes3	1:6.0.0-1	amd64	52224	51.00 KB	1	libc6 (>= 2.14), libx11-6 (>= 2:1.6.0)	3
libxft2	2.3.4-1	amd64	120832	118.00 KB	1	libc6 (>= 2.14), libfontconfig1 (>= 2.12.6), libfreetype6 (>= 2.3.5), libx11-6, libxrender1	1
libxi6	2:1.8-1build1	amd64	102400	100.00 KB	1	libc6 (>= 2.14), libx11-6 (>= 2:1.6.0), libxext6	5
libxinerama1	2:1.1.4-3	amd64	37888	37.00 KB	1	libc6 (>= 2.4), libx11-6 (>= 2:1.6.0), libxext6	2
libxkbcommon0	1.4.0-1	amd64	309248	302.00 KB	0	xkb-data, libc6 (>= 2.33)	1
libxkbfile1	1:1.1.0-1build3	amd64	182272	178.00 KB	1	libc6 (>= 2.14), libx11-6	1
libxml-parser-perl	2.46-3build1	amd64	707584	691.00 KB	0	perl, perlapi-5.34.0, libc6 (>= 2.34), libexpat1 (>= 2.0.1), liburi-perl, libwww-perl	1
libxml-twig-perl	1:3.52-1	all	565248	552.00 KB	0	perl:any, libxml-parser-perl	1
libxml-xpathengine-perl	0.14-1	all	130048	127.00 KB	0	perl	1
libxml2	2.9.13+dfsg-1ubuntu0.7	amd64	2147328	2.05 MB	0	libc6 (>= 2.34), libicu70 (>= 70.1-1~), liblzma5 (>= 5.1.1alpha+20120614), zlib1g (>= 1:1.2.3.3)	18
libxml2-dev	2.9.13+dfsg-1ubuntu0.7	amd64	3412992	3.25 MB	0	libicu-dev, libxml2 (= 2.9.13+dfsg-1ubuntu0.7)	0
libxml2-utils	2.9.13+dfsg-1ubuntu0.7	amd64	206848	202.00 KB	0	libc6 (>= 2.34), libxml2 (>= 2.9.0)	1
libxmlb2	0.3.6-2build1	amd64	202752	198.00 KB	0	libc6 (>= 2.14), libglib2.0-0 (>= 2.53.2), liblzma5 (>= 5.1.1alpha+20120614)	3
libxmlsec1	1.2.33-1build2	amd64	445440	435.00 KB	0	libc6 (>= 2.14), libxml2 (>= 2.8.0), libxslt1.1 (>= 1.1.25)	2
libxmlsec1-openssl	1.2.33-1build2	amd64	311296	304.00 KB	0	libc6 (>= 2.14), libssl3 (>= 3.0.0~~alpha1), libxml2 (>= 2.8.0), libxmlsec1 (>= 1.2.33)	1
libxmu6	2:1.1.3-3	amd64	130048	127.00 KB	1	libc6 (>= 2.14), libx11-6, libxext6, libxt6	5
libxmuu1	2:1.1.3-3	amd64	41984	41.00 KB	0	libc6 (>= 2.4), libx11-6	3
libxpm4	1:3.5.12-1ubuntu0.22.04.2	amd64	100352	98.00 KB	1	libc6 (>= 2.33), libx11-6	2
libxrandr2	2:1.5.2-1build1	amd64	70656	69.00 KB	1	libc6 (>= 2.14), libx11-6 (>= 2:1.6.0), libxext6, libxrender1	3
libxrender1	1:0.9.10-1build4	amd64	69632	68.00 KB	1	libc6 (>= 2.14), libx11-6 (>= 2:1.6.0)	5
libxshmfence1	1.3-1build4	amd64	30720	30.00 KB	1	libc6 (>= 2.27)	3
libxslt1.1	1.1.34-4ubuntu0.22.04.4	amd64	512000	500.00 KB	0	libc6 (>= 2.33), libgcrypt20 (>= 1.9.0), libxml2 (>= 2.9.0)	2
libxt-dev	1:1.2.1-1	amd64	1403904	1.34 MB	0	libxt6 (= 1:1.2.1-1), libx11-dev, x11proto-dev, libsm-dev	1
libxt6	1:1.2.1-1	amd64	478208	467.00 KB	1	libc6 (>= 2.33), libice6 (>= 1:1.0.0), libsm6, libx11-6	6
libxtables12	1.8.7-1ubuntu5.2	amd64	116736	114.00 KB	0	libc6 (>= 2.34)	3
libxtst6	2:1.2.3-1build4	amd64	49152	48.00 KB	1	libc6 (>= 2.4), libx11-6 (>= 2:1.6.0), libxext6, x11-common	2
libxv1	2:1.0.11-1build2	amd64	40960	40.00 KB	1	libc6 (>= 2.14), libx11-6 (>= 2:1.6.0), libxext6	1
libxvmc1	2:1.0.12-2build2	amd64	65536	64.00 KB	0	libc6 (>= 2.34), libx11-6 (>= 2:1.6.0), libxext6, x11-common	0
libxxf86dga1	2:1.1.5-0ubuntu3	amd64	44032	43.00 KB	1	libc6 (>= 2.4), libx11-6 (>= 2:1.6.0), libxext6	1
libxxf86vm1	1:1.1.4-1build3	amd64	39936	39.00 KB	1	libc6 (>= 2.4), libx11-6 (>= 2:1.6.0), libxext6	4
libxxhash0	0.8.1-1	amd64	99328	97.00 KB	0	libc6 (>= 2.14)	3
libyaml-0-2	0.2.2-1build2	amd64	147456	144.00 KB	0	libc6 (>= 2.14)	3
libz3-4	4.8.12-1	amd64	15974400	15.23 MB	0	libc6 (>= 2.34), libgcc-s1 (>= 3.4), libstdc++6 (>= 11)	1
libz3-dev	4.8.12-1	amd64	545792	533.00 KB	0	libz3-4 (= 4.8.12-1)	1
libzstd1	1.4.8+dfsg-3build1	amd64	866304	846.00 KB	0	libc6 (>= 2.14)	22
linux-base	4.5ubuntu9+22.04.1	all	159744	156.00 KB	0	debconf (>= 0.5) | debconf-2.0	1
linux-libc-dev	5.15.0-152.162	amd64	7230464	6.90 MB	0	-	2
llvm-12-linker-tools	1:12.0.1-19ubuntu3	amd64	4014080	3.83 MB	0	libc6 (>= 2.34), libgcc-s1 (>= 3.0), libllvm12, libstdc++6 (>= 11)	1
llvm-12-runtime	1:12.0.1-19ubuntu3	amd64	712704	696.00 KB	0	libc6 (>= 2.34), libgcc-s1 (>= 3.3), libllvm12, libstdc++6 (>= 11), libtinfo6 (>= 6), zlib1g (>= 1:1.1.4)	0
llvm-12-tools	1:12.0.1-19ubuntu3	amd64	1803264	1.72 MB	0	libc6 (>= 2.34), libgcc-s1 (>= 3.3), libllvm12, libstdc++6 (>= 11), libtinfo6 (>= 6), zlib1g (>= 1:1.1.4), python3, python3-pygments, python3-yaml	0
llvm-15-linker-tools	1:15.0.7-0ubuntu0.22.04.3	amd64	4337664	4.14 MB	0	libc6 (>= 2.34), libgcc-s1 (>= 3.0), libllvm15, libstdc++6 (>= 11)	1
llvm-15-runtime	1:15.0.7-0ubuntu0.22.04.3	amd64	1533952	1.46 MB	0	libc6 (>= 2.34), libgcc-s1 (>= 3.3), libllvm15, libstdc++6 (>= 12), libtinfo6 (>= 6), zlib1g (>= 1:1.1.4)	0
llvm-15-tools	1:15.0.7-0ubuntu0.22.04.3	amd64	2120704	2.02 MB	0	libc6 (>= 2.34), libgcc-s1 (>= 3.3), libllvm15, libstdc++6 (>= 11), libtinfo6 (>= 6), zlib1g (>= 1:1.1.4), python3, python3-pygments, python3-yaml	0
locales	2.35-0ubuntu3.10	all	17477632	16.67 MB	0	libc-bin (>> 2.35), debconf (>= 0.5) | debconf-2.0	3
login	1:4.8.1-2ubuntu2.2	amd64	909312	888.00 KB	0	-	0
logrotate	3.19.0-1ubuntu1.1	amd64	171008	167.00 KB	0	cron | anacron | cron-daemon | systemd-sysv, libacl1 (>= 2.2.23), libc6 (>= 2.34), libpopt0 (>= 1.14), libselinux1 (>= 3.1~)	3
logsave	1.46.5-2ubuntu1.2	amd64	99328	97.00 KB	0	libc6 (>= 2.34)	2
lsb-base	11.1.0ubuntu4	all	59392	58.00 KB	0	-	24
lsb-release	11.1.0ubuntu4	all	67584	66.00 KB	0	python3:any, distro-info-data	15
lshw	02.19.git.2021.06.19.996aaad9c7-2build1	amd64	943104	921.00 KB	0	libc6 (>= 2.34), libgcc-s1 (>= 3.0), libstdc++6 (>= 11)	2
lsof	4.93.2+dfsg-1.1build2	amd64	457728	447.00 KB	0	libc6 (>= 2.34), libselinux1 (>= 3.1~), libtirpc3 (>= 1.0.2)	3
lto-disabled-list	24	all	39936	39.00 KB	0	-	1
ltrace	0.7.3-6.1ubuntu6	amd64	339968	332.00 KB	0	libc6 (>= 2.34), libelf1 (>= 0.131), libselinux1 (>= 3.1~)	0
lua-luv	1.36.0-0-1	amd64	532480	520.00 KB	0	libc6 (>= 2.14), libuv1 (>= 1.34.2)	1
lvm2	2.03.11-2.1ubuntu5	amd64	4129792	3.94 MB	1	libaio1 (>= 0.3.93), libblkid1 (>= 2.24.2), libc6 (>= 2.34), libdevmapper-event1.02.1 (>= 2:1.02.74), libedit2 (>= 2.11-20080614-0), libselinux1 (>= 3.1~), libsystemd0 (>= 222), libudev1 (>= 183), lsb-base, dmsetup (>= 2:1.02.175-2.1ubuntu5~), dmeventd (>= 2:1.02.175-2.1ubuntu5~)	0
lxd-agent-loader	0.5	all	24576	24.00 KB	1	-	0
mailcap	3.70+nmu1ubuntu1	all	90112	88.00 KB	0	perl, media-types	1
make-guile	4.3-4.1build1	amd64	430080	420.00 KB	1	guile-3.0-libs, libc6 (>= 2.34)	0
man-db	2.10.2-1	amd64	2891776	2.76 MB	0	bsdextrautils | bsdmainutils (<< 12.1.1~), groff-base, debconf (>= 0.5) | debconf-2.0, libc6 (>= 2.34), libgdbm6 (>= 1.16), libpipeline1 (>= 1.5.0), libseccomp2 (>= 2.1.0), zlib1g (>= 1:1.1.4)	2
manpages	5.10-1ubuntu1	all	1709056	1.63 MB	0	-	5
manpages-dev	5.10-1ubuntu1	all	4036608	3.85 MB	0	manpages	5
mawk	1.3.4.20200120-3	amd64	234496	229.00 KB	0	libc6 (>= 2.34)	1
mdadm	4.2-0ubuntu2	amd64	1210368	1.15 MB	1	debconf (>= 0.5) | debconf-2.0, libc6 (>= 2.34), libudev1 (>= 183), debconf, lsb-base, udev	1
media-types	7.0.0	all	99328	97.00 KB	0	-	6
mesa-vulkan-drivers	23.2.1-1ubuntu3.1~22.04.3	amd64	50807808	48.45 MB	1	libvulkan1, python3:any | python3-minimal:any, libc6 (>= 2.34), libdrm-amdgpu1 (>= 2.4.110), libdrm2 (>= 2.4.99), libelf1 (>= 0.142), libexpat1 (>= 2.0.1), libgcc-s1 (>= 3.4), libllvm15, libstdc++6 (>= 11), libwayland-client0 (>= 1.20.0), libx11-xcb1 (>= 2:1.7.5), libxcb-dri3-0 (>= 1.13), libxcb-present0, libxcb-randr0 (>= 1.13), libxcb-shm0, libxcb-sync1, libxcb-xfixes0, libxcb1 (>= 1.9.2), libxshmfence1, libzstd1 (>= 1.4.0), zlib1g (>= 1:1.1.4)	1
mime-support	3.66	all	17408	17.00 KB	0	mailcap, media-types	4
mingw-w64-common	8.0.0-1	all	59932672	57.16 MB	0	-	1
mingw-w64-x86-64-dev	8.0.0-1	all	95972352	91.53 MB	1	mingw-w64-common	0
modemmanager	1.20.0-1~ubuntu22.04.4	amd64	4820992	4.60 MB	0	libc6 (>= 2.34), libglib2.0-0 (>= 2.56.0), libgudev-1.0-0 (>= 232), libmbim-glib4 (>= 1.28.0), libmbim-proxy, libmm-glib0 (>= 1.19~git20220825), libpolkit-gobject-1-0 (>= 0.99), libqmi-glib5 (>= 1.32.0), libqmi-proxy, libsystemd0 (>= 209), policykit-1	1
motd-news-config	12ubuntu4.7	all	49152	48.00 KB	1	-	1
mount	2.37.2-4ubuntu3.4	amd64	398336	389.00 KB	0	-	3
mtr-tiny	0.95-1	amd64	160768	157.00 KB	0	libc6 (>= 2.34), libjansson4 (>= 2.0.1), libncurses6 (>= 6), libtinfo6 (>= 6)	1
multipath-tools	0.8.8-1ubuntu1.22.04.4	amd64	1252352	1.19 MB	1	libaio1 (>= 0.3.93), libc6 (>= 2.34), libdevmapper1.02.1 (>= 2:1.02.110), libjson-c5 (>= 0.15), libreadline8 (>= 6.0), libsystemd0, libudev1 (>= 183), liburcu8 (>= 0.13.0), udev, kpartx (>= 0.8.8-1ubuntu1.22.04.4), lsb-base, sg3-utils-udev	0
mysql-common	5.8+1.0.8	all	34816	34.00 KB	0	-	0
nano	6.2-1ubuntu0.1	amd64	880640	860.00 KB	0	libc6 (>= 2.34), libncursesw6 (>= 6), libtinfo6 (>= 6)	3
ncurses-base	6.3-2ubuntu0.1	all	402432	393.00 KB	1	-	1
ncurses-bin	6.3-2ubuntu0.1	amd64	661504	646.00 KB	1	-	1
ncurses-term	6.3-2ubuntu0.1	all	4350976	4.15 MB	1	ncurses-base (>= 6.1+20190713)	2
neovim	0.6.1-3	amd64	4556800	4.35 MB	1	neovim-runtime (= 0.6.1-3), libc6 (>= 2.34), libluajit-5.1-2 (>= 2.0.4+dfsg), libmsgpackc2 (>= 2.1.0), libtermkey1 (>= 0.19), libtree-sitter0 (>= 0.20.0), libunibilium4 (>= 2.0), libuv1 (>= 1.30.1), libvterm0 (>= 0.1), lua-luv (>= 1.36.0-0)	3
neovim-runtime	0.6.1-3	all	20335616	19.39 MB	0	-	1
netbase	6.3	all	41984	41.00 KB	0	-	8
netcat-openbsd	1.218-4ubuntu1	amd64	108544	106.00 KB	0	libbsd0 (>= 0.2.0), libc6 (>= 2.34)	1
netplan.io	0.106.1-7ubuntu0.22.04.4	amd64	506880	495.00 KB	0	libc6 (>= 2.34), libglib2.0-0 (>= 2.70.0), libnetplan0 (= 0.106.1-7ubuntu0.22.04.4), libsystemd0 (>= 243), iproute2, python3, python3-dbus, python3-yaml, python3-netifaces, systemd (>= 248~)	3
network-manager	1.36.6-0ubuntu2	amd64	7405568	7.06 MB	0	libaudit1 (>= 1:2.2.1), libbluetooth3 (>= 4.91), libc6 (>= 2.34), libcurl3-gnutls (>= 7.24.0), libglib2.0-0 (>= 2.68.0), libgnutls30 (>= 3.7.2), libjansson4 (>= 2.0.1), libmm-glib0 (>= 1.4.0), libndp0 (>= 1.2), libnewt0.52 (>= 0.52.21), libnm0 (= 1.36.6-0ubuntu2), libpsl5 (>= 0.13.0), libreadline8 (>= 6.0), libselinux1 (>= 3.1~), libsystemd0 (>= 209), libteamdctl0 (>= 1.9), libudev1 (>= 183), dbus, isc-dhcp-client, udev, adduser, policykit-1	2
network-manager-gnome	1.24.0-1ubuntu3	amd64	2179072	2.08 MB	0	libatk1.0-0 (>= 1.12.4), libayatana-appindicator3-1 (>= 0.4.90), libc6 (>= 2.34), libcairo2 (>= 1.2.4), libgdk-pixbuf-2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.43.2), libgtk-3-0 (>= 3.10), libjansson4 (>= 2.7), libmm-glib0 (>= 0.7.991), libnm0 (>= 1.16.0), libnma0 (>= 1.8.28), libnotify4 (>= 0.7.0), libpango-1.0-0 (>= 1.14.0), libpangocairo-1.0-0 (>= 1.14.0), libsecret-1-0 (>= 0.18), libselinux1 (>= 3.1~), network-manager (>= 1.8), gnome-shell | policykit-1-gnome | polkit-1-auth-agent, default-dbus-session-bus | dbus-session-bus	0
networkd-dispatcher	2.1-2ubuntu0.22.04.2	all	70656	69.00 KB	0	dbus, gir1.2-glib-2.0, python3-dbus, python3-gi, python3:any	1
nftables	1.0.2-1ubuntu3	amd64	181248	177.00 KB	0	libnftables1 (= 1.0.2-1ubuntu3), libc6 (>= 2.34), libedit2 (>= 3.1-20130611-0)	2
node-abab	2.0.5-2	all	25600	25.00 KB	0	nodejs	1
node-abbrev	1.1.1+~1.1.2-1	all	21504	21.00 KB	0	-	2
node-agent-base	6.0.2+~cs5.4.2-1	all	101376	99.00 KB	0	node-debug, node-semver	2
node-ansi-regex	5.0.1-1	all	17408	17.00 KB	0	-	2
node-ansi-styles	4.3.0+~4.2.0-1	all	31744	31.00 KB	0	node-color-convert	2
node-ansistyles	0.1.3-5	all	16384	16.00 KB	0	-	1
node-aproba	2.0.0-2	all	19456	19.00 KB	0	nodejs	5
node-archy	1.0.0-4	all	19456	19.00 KB	0	nodejs	1
node-are-we-there-yet	3.0.0+~1.1.0-1	all	34816	34.00 KB	0	node-delegates, node-readable-stream	1
node-argparse	2.0.1-2	all	166912	163.00 KB	0	node-sprintf-js, nodejs	1
node-arrify	2.0.1-2	all	15360	15.00 KB	0	-	1
node-asap	2.0.6+~2.0.0-1	all	44032	43.00 KB	0	-	1
node-asynckit	0.4.0-4	all	41984	41.00 KB	0	-	1
node-balanced-match	2.0.0-1	all	21504	21.00 KB	0	-	1
node-brace-expansion	2.0.1-1	all	22528	22.00 KB	0	node-balanced-match	1
node-builtins	4.0.0-1	all	15360	15.00 KB	0	node-semver	1
node-cacache	15.0.5+~cs13.9.21-3	all	145408	142.00 KB	0	nodejs, node-chownr, node-glob (>= 7.1.2), node-graceful-fs, node-lru-cache (>= 4.1.1), node-mkdirp (>= 1.0.3), node-move-concurrently, node-p-map (>= 3.0.0), node-promise-inflight, node-rimraf (>= 2.6.1), node-ssri, node-unique-filename	2
node-chalk	4.1.2-1	all	46080	45.00 KB	0	node-ansi-styles (>= 3.1.0~), node-escape-string-regexp, node-supports-color (>= 4.0.0~), nodejs	1
node-chownr	2.0.0-1	all	18432	18.00 KB	0	-	4
node-clean-yaml-object	0.1.0-5	all	17408	17.00 KB	0	-	1
node-cli-table	0.3.11+~cs0.13.3-1	all	118784	116.00 KB	0	node-colors, node-object-assign, node-string-width	0
node-clone	2.1.2-3	all	24576	24.00 KB	0	nodejs	1
node-color-convert	2.0.1-1	all	37888	37.00 KB	0	node-color-name	1
