PKG	VERSION	ARCH	SIZE_BYTES	SIZE_HUMAN	MANUAL	DEPENDS	RDEPS_COUNT
libjcat1	0.1.9-1	amd64	98304	96.00 KB	0	libc6 (>= 2.4), libglib2.0-0 (>= 2.61.2), libgnutls30 (>= 3.7.0), libgpg-error0 (>= 1.14), libgpgme11 (>= 1.2.0), libjson-glib-1.0-0 (>= 1.5.2)	3
libjpeg-turbo8	2.1.2-0ubuntu1	amd64	556032	543.00 KB	0	libc6 (>= 2.14)	1
libjpeg8	8c-2ubuntu10	amd64	9216	9.00 KB	0	libjpeg-turbo8 (>= 1.1.90+svn722-1ubuntu6)	6
libjs-events	3.3.0+~3.0.0-2	all	44032	43.00 KB	0	-	1
libjs-highlight.js	9.18.5+dfsg1-1	all	2161664	2.06 MB	0	-	1
libjs-inherits	2.0.4-4	all	12288	12.00 KB	0	-	1
libjs-is-typedarray	1.0.0-4	all	14336	14.00 KB	0	-	1
libjs-jquery	3.6.0+dfsg+~3.5.13-1	all	695296	679.00 KB	0	-	2
libjs-mathjax	2.7.9+dfsg-1	all	42458112	40.49 MB	0	fonts-mathjax (>= 2.6.0~)	2
libjs-psl	1.8.0+ds-6	all	316416	309.00 KB	0	-	1
libjs-source-map	0.7.0++dfsg2+really.0.6.1-9	all	576512	563.00 KB	0	-	1
libjs-sphinxdoc	4.3.2-1	all	198656	194.00 KB	0	libjs-jquery (>= 1.11.1), libjs-underscore (>= 1.3.1)	1
libjs-sprintf-js	1.1.2+ds1+~1.1.2-1	all	46080	45.00 KB	0	-	1
libjs-typedarray-to-buffer	4.0.0-2	all	17408	17.00 KB	0	-	1
libjs-underscore	1.13.2~dfsg-2	all	353280	345.00 KB	0	-	1
libjson-c5	0.15-3~ubuntu1.22.04.2	amd64	100352	98.00 KB	0	libc6 (>= 2.33)	6
libjson-glib-1.0-0	1.6.6-1build1	amd64	215040	210.00 KB	0	libjson-glib-1.0-common (>= 1.6.6-1build1), libc6 (>= 2.4), libglib2.0-0 (>= 2.55.2)	3
libjson-glib-1.0-common	1.6.6-1build1	all	45056	44.00 KB	0	-	1
libk5crypto3	1.19.2-2ubuntu0.7	amd64	300032	293.00 KB	0	libc6 (>= 2.33), libkrb5support0 (>= 1.16)	3
libkeyutils1	1.6.1-2ubuntu3	amd64	48128	47.00 KB	0	libc6 (>= 2.14)	1
libkf5auth-data	5.68.0-0ubuntu1	all	384000	375.00 KB	0	-	0
libkf5codecs-data	5.68.0-0ubuntu1	all	651264	636.00 KB	0	-	0
libkf5configwidgets-data	5.68.0-0ubuntu1	all	1272832	1.21 MB	0	perl	0
libkf5coreaddons-data	5.68.0-0ubuntu1	all	835584	816.00 KB	0	-	0
libkf5kmahjongglib-data	4:19.12.3-0ubuntu1	all	178176	174.00 KB	0	-	0
libklibc	2.0.10-4ubuntu0.1	amd64	117760	115.00 KB	0	-	1
libkmod2	29-1ubuntu1	amd64	142336	139.00 KB	0	libc6 (>= 2.33), liblzma5 (>= 5.1.1alpha+20120614), libssl3 (>= 3.0.0~~alpha1), libzstd1 (>= 1.4.0)	7
libkrb5-3	1.19.2-2ubuntu0.7	amd64	1078272	1.03 MB	0	libc6 (>= 2.34), libcom-err2 (>= 1.43.9), libk5crypto3 (>= 1.18.2), libkeyutils1 (>= 1.5.9), libkrb5support0 (= 1.19.2-2ubuntu0.7), libssl3 (>= 3.0.0~~alpha1)	5
libkrb5support0	1.19.2-2ubuntu0.7	amd64	168960	165.00 KB	0	libc6 (>= 2.34)	3
libksba8	1.6.0-2ubuntu0.2	amd64	309248	302.00 KB	0	libc6 (>= 2.14), libgpg-error0 (>= 1.14)	3
liblab-gamut1	2.42.2-6ubuntu0.1	amd64	2544640	2.43 MB	0	-	1
liblcms2-2	2.12~rc1-2build2	amd64	423936	414.00 KB	0	libc6 (>= 2.29)	2
libldap-2.5-0	2.5.19+dfsg-0ubuntu0.22.04.1	amd64	583680	570.00 KB	0	libc6 (>= 2.34), libgnutls30 (>= 3.7.2), libsasl2-2 (>= 2.1.27+dfsg2)	3
libldap-common	2.5.19+dfsg-0ubuntu0.22.04.1	all	112640	110.00 KB	0	-	1
liblist-moreutils-perl	0.430-2	all	98304	96.00 KB	0	perl:any, libexporter-tiny-perl, liblist-moreutils-xs-perl, perl (>= 5.22.2-2~)	2
liblist-moreutils-xs-perl	0.430-2build2	amd64	169984	166.00 KB	0	perl (>= 5.24.1), perlapi-5.34.0, libc6 (>= 2.4)	1
libllvm11	1:11.1.0-6	amd64	83567616	79.70 MB	0	libc6 (>= 2.34), libedit2 (>= 2.11-20080614-0), libffi8 (>= 3.4), libgcc-s1 (>= 3.3), libstdc++6 (>= 11), libtinfo6 (>= 6), libxml2 (>= 2.7.4), zlib1g (>= 1:1.2.0)	1
libllvm12	1:12.0.1-19ubuntu3	amd64	95535104	91.11 MB	1	libc6 (>= 2.34), libedit2 (>= 2.11-20080614-0), libffi8 (>= 3.4), libgcc-s1 (>= 3.3), libstdc++6 (>= 11), libtinfo6 (>= 6), libxml2 (>= 2.7.4), zlib1g (>= 1:1.2.0)	8
libllvm14	1:14.0.0-1ubuntu1.1	amd64	109484032	104.41 MB	0	libc6 (>= 2.34), libedit2 (>= 2.11-20080614-0), libffi8 (>= 3.4), libgcc-s1 (>= 3.3), libstdc++6 (>= 12), libtinfo6 (>= 6), libxml2 (>= 2.7.4), zlib1g (>= 1:1.2.0)	3
